id,age,receive.offer,repeat.customer,prod
1,29,No,Yes,Yard Smasher
2,37,No,Yes,Yard Smasher
3,34,No,No,Yard Smasher
4,51,No,Yes,Yard Smasher
5,26,No,No,Yard Smasher
6,25,No,No,Yard Smasher
7,43,No,No,Yard Smasher
8,29,No,No,Yard Smasher
9,36,No,No,Yard Smasher
10,40,No,No,Yard Smasher
11,26,No,No,Yard Smasher
12,41,No,No,Yard Smasher
13,21,No,Yes,Yard Smasher
14,40,No,Yes,Yard Smasher
15,34,No,Yes,Yard Smasher
16,26,No,No,Yard Smasher
17,28,No,No,Yard Smasher
18,27,No,No,Yard Smasher
19,34,No,No,Yard Smasher
20,43,No,No,Yard Smasher
21,44,No,Yes,Yard Smasher
22,34,No,No,Yard Smasher
23,22,No,No,Yard Smasher
24,26,No,No,Yard Smasher
25,37,No,Yes,Yard Smasher
26,18,No,Yes,Yard Smasher
27,39,No,No,Yard Smasher
28,25,No,Yes,Yard Smasher
29,22,No,No,Yard Smasher
30,24,No,No,Yard Smasher
31,40,No,Yes,Yard Smasher
32,37,Yes,Yes,Yard Smasher
33,29,No,No,Yard Smasher
34,40,No,No,Yard Smasher
35,38,No,Yes,Yard Smasher
36,47,No,No,Yard Smasher
37,24,No,Yes,Yard Smasher
38,35,No,Yes,Yard Smasher
39,29,No,No,Yard Smasher
40,25,No,Yes,Yard Smasher
41,30,No,No,Yard Smasher
42,27,No,Yes,Yard Smasher
43,24,No,No,Yard Smasher
44,55,No,Yes,Yard Smasher
45,32,No,No,Yard Smasher
46,28,No,No,Yard Smasher
47,34,No,Yes,Yard Smasher
48,19,No,No,Yard Smasher
49,20,No,No,Yard Smasher
50,29,No,No,Yard Smasher
51,37,No,No,Yard Smasher
52,29,No,No,Yard Smasher
53,38,No,No,Yard Smasher
54,40,No,Yes,Yard Smasher
55,36,No,No,Yard Smasher
56,47,No,No,Yard Smasher
57,24,No,No,Yard Smasher
58,21,No,Yes,Yard Smasher
59,24,No,No,Yard Smasher
60,25,No,No,Yard Smasher
61,32,No,Yes,Yard Smasher
62,24,No,No,Yard Smasher
63,36,No,No,Yard Smasher
64,19,No,No,Yard Smasher
65,18,No,No,Yard Smasher
66,35,No,No,Yard Smasher
67,21,No,No,Yard Smasher
68,25,No,Yes,Yard Smasher
69,33,No,No,Yard Smasher
70,25,No,No,Yard Smasher
71,42,No,Yes,Yard Smasher
72,47,No,No,Yard Smasher
73,28,No,No,Yard Smasher
74,33,No,No,Yard Smasher
75,20,No,No,Yard Smasher
76,31,No,No,Yard Smasher
77,34,No,Yes,Yard Smasher
78,27,No,Yes,Yard Smasher
79,34,No,No,Yard Smasher
80,21,No,No,Yard Smasher
81,22,No,No,Yard Smasher
82,29,No,No,Yard Smasher
83,28,No,No,Yard Smasher
84,19,No,No,Yard Smasher
85,29,No,Yes,Yard Smasher
86,37,No,No,Yard Smasher
87,53,No,Yes,Yard Smasher
88,40,No,No,Yard Smasher
89,29,No,Yes,Yard Smasher
90,40,No,No,Yard Smasher
91,39,No,No,Yard Smasher
92,33,No,No,Yard Smasher
93,27,No,Yes,Yard Smasher
94,21,No,Yes,Yard Smasher
95,34,No,No,Yard Smasher
96,29,No,No,Yard Smasher
97,41,No,No,Yard Smasher
98,20,No,No,Yard Smasher
99,43,No,Yes,Yard Smasher
100,36,No,Yes,Yard Smasher
101,28,No,Yes,Yard Smasher
102,29,No,Yes,Yard Smasher
103,48,No,No,Yard Smasher
104,36,No,No,Yard Smasher
105,21,No,No,Yard Smasher
106,32,No,No,Yard Smasher
107,36,No,Yes,Yard Smasher
108,22,No,No,Yard Smasher
109,34,No,No,Yard Smasher
110,39,No,No,Yard Smasher
111,28,No,No,Yard Smasher
112,18,No,No,Yard Smasher
113,29,No,No,Yard Smasher
114,30,No,Yes,Yard Smasher
115,19,No,No,Yard Smasher
116,19,No,No,Yard Smasher
117,30,No,Yes,Yard Smasher
118,39,No,No,Yard Smasher
119,26,No,No,Yard Smasher
120,34,No,No,Yard Smasher
121,33,No,No,Yard Smasher
122,44,No,No,Yard Smasher
123,21,No,No,Yard Smasher
124,34,No,No,Yard Smasher
125,28,No,Yes,Yard Smasher
126,33,No,No,Yard Smasher
127,21,No,No,Yard Smasher
128,57,No,No,Yard Smasher
129,25,No,Yes,Yard Smasher
130,37,No,Yes,Yard Smasher
131,27,No,No,Yard Smasher
132,26,No,No,Yard Smasher
133,34,No,No,Yard Smasher
134,24,No,No,Yard Smasher
135,40,No,No,Yard Smasher
136,38,No,No,Yard Smasher
137,40,No,Yes,Yard Smasher
138,33,No,No,Yard Smasher
139,39,No,No,Yard Smasher
140,46,No,No,Yard Smasher
141,36,No,No,Yard Smasher
142,53,No,Yes,Yard Smasher
143,61,No,Yes,Yard Smasher
144,25,No,Yes,Yard Smasher
145,28,No,Yes,Yard Smasher
146,24,No,No,Yard Smasher
147,29,No,No,Yard Smasher
148,31,No,No,Yard Smasher
149,34,No,No,Yard Smasher
150,40,No,No,Yard Smasher
151,22,No,Yes,Yard Smasher
152,24,No,Yes,Yard Smasher
153,30,No,No,Yard Smasher
154,23,No,No,Yard Smasher
155,37,No,No,Yard Smasher
156,32,No,No,Yard Smasher
157,22,No,Yes,Yard Smasher
158,25,No,Yes,Yard Smasher
159,30,No,No,Yard Smasher
160,22,No,No,Yard Smasher
161,38,No,No,Yard Smasher
162,24,No,No,Yard Smasher
163,41,No,No,Yard Smasher
164,41,No,No,Yard Smasher
165,32,No,No,Yard Smasher
166,37,No,No,Yard Smasher
167,28,No,No,Yard Smasher
168,43,No,No,Yard Smasher
169,34,No,Yes,Yard Smasher
170,37,No,No,Yard Smasher
171,26,No,No,Yard Smasher
172,29,No,No,Yard Smasher
173,41,No,Yes,Yard Smasher
174,33,No,No,Yard Smasher
175,28,No,Yes,Yard Smasher
176,35,No,Yes,Yard Smasher
177,32,No,Yes,Yard Smasher
178,52,No,Yes,Yard Smasher
179,45,No,Yes,Yard Smasher
180,25,No,No,Yard Smasher
181,21,No,Yes,Yard Smasher
182,31,No,No,Yard Smasher
183,31,No,Yes,Yard Smasher
184,45,No,Yes,Yard Smasher
185,25,No,No,Yard Smasher
186,32,No,No,Yard Smasher
187,22,No,No,Yard Smasher
188,28,No,No,Yard Smasher
189,42,No,No,Yard Smasher
190,35,No,No,Yard Smasher
191,42,No,No,Yard Smasher
192,31,No,No,Yard Smasher
193,32,No,No,Yard Smasher
194,37,No,Yes,Yard Smasher
195,48,No,No,Yard Smasher
196,25,No,No,Yard Smasher
197,32,No,No,Yard Smasher
198,49,No,No,Yard Smasher
199,20,No,No,Yard Smasher
200,32,No,No,Yard Smasher
201,30,No,Yes,Yard Smasher
202,19,No,Yes,Yard Smasher
203,32,No,Yes,Yard Smasher
204,35,No,Yes,Yard Smasher
205,21,No,No,Yard Smasher
206,28,No,No,Yard Smasher
207,36,No,Yes,Yard Smasher
208,32,No,No,Yard Smasher
209,27,No,Yes,Yard Smasher
210,31,No,No,Yard Smasher
211,19,No,No,Yard Smasher
212,21,No,Yes,Yard Smasher
213,32,No,Yes,Yard Smasher
214,27,No,No,Yard Smasher
215,32,No,No,Yard Smasher
216,20,No,No,Yard Smasher
217,38,No,No,Yard Smasher
218,35,No,No,Yard Smasher
219,21,No,No,Yard Smasher
220,42,No,No,Yard Smasher
221,28,No,No,Yard Smasher
222,45,No,No,Yard Smasher
223,31,No,Yes,Yard Smasher
224,33,Yes,No,Yard Smasher
225,50,No,No,Yard Smasher
226,22,No,Yes,Yard Smasher
227,21,No,No,Yard Smasher
228,32,No,Yes,Yard Smasher
229,35,No,No,Yard Smasher
230,38,No,Yes,Yard Smasher
231,31,No,No,Yard Smasher
232,24,No,No,Yard Smasher
233,37,No,No,Yard Smasher
234,46,No,No,Yard Smasher
235,40,No,No,Yard Smasher
236,44,No,No,Yard Smasher
237,47,No,No,Yard Smasher
238,25,No,No,Yard Smasher
239,29,No,No,Yard Smasher
240,31,No,No,Yard Smasher
241,27,No,No,Yard Smasher
242,32,No,No,Yard Smasher
243,33,No,No,Yard Smasher
