id,Leaf Blower,Leaf Destroyer,Leaf Storm-nado,Leaf A-leaf-eator,age,home
1,No,Yes,Yes,No,56.82508816,Own
2,No,Yes,No,No,55.83387298,Own
3,No,No,Yes,No,32.01325422,Rent
4,No,Yes,No,No,31.88865288,Rent
5,No,Yes,Yes,No,45.9402888,Own
6,No,No,No,No,27.02898771,Rent
7,No,No,Yes,No,53.25716452,Rent
8,No,No,Yes,No,54.33621743,Rent
9,No,No,No,Yes,25.02193775,Rent
10,No,No,Yes,No,31.92264089,Rent
11,No,No,No,No,18.85002246,Rent
12,Yes,Yes,No,No,49.44738957,Rent
13,No,Yes,Yes,No,39.54188206,Own
14,No,Yes,Yes,No,37.49203583,Own
15,No,No,No,No,31.8979793,Rent
16,No,Yes,No,No,30.7943,Rent
17,No,No,Yes,No,36.57247868,Rent
18,No,No,Yes,No,37.56279515,Rent
19,No,Yes,Yes,No,21.53950773,Own
20,No,No,Yes,No,43.55266418,Rent
21,Yes,Yes,Yes,No,49.26332635,Rent
22,No,No,No,No,39.7123525,Rent
23,No,No,Yes,Yes,27.65792167,Rent
24,No,No,Yes,Yes,39.59992818,Rent
25,No,No,No,No,42.0798521,Rent
26,No,Yes,No,No,36.88511481,Rent
27,No,No,No,No,28.22756106,Rent
28,No,Yes,No,No,60.81018606,Rent
29,No,No,Yes,Yes,32.90127164,Rent
30,No,Yes,Yes,No,33.23759273,Rent
31,No,Yes,No,No,49.02766151,Rent
32,No,Yes,No,No,41.0965032,Rent
33,No,Yes,No,No,33.05208245,Own
34,No,Yes,Yes,No,38.78825737,Rent
35,No,Yes,No,No,28.27209437,Rent
36,No,Yes,No,No,53.62805992,Own
37,No,Yes,Yes,No,64.95969998,Own
38,No,Yes,Yes,No,62.61992185,Own
39,No,Yes,Yes,No,63.18051974,Own
40,No,Yes,Yes,Yes,35.18789315,Rent
41,No,Yes,No,No,30.66024613,Rent
42,No,Yes,No,Yes,35.35343218,Rent
43,No,No,Yes,Yes,32.19394965,Rent
